City,Total_Restaurants,Offers_Table_Booking,Offers_Online_Delivery,Percentage_Table_Booking,Percentage_Online_Delivery
Abu Dhabi,20,6,11,30.0,55.00000000000001
Agra,20,0,0,0.0,0.0
Ahmedabad,21,0,11,0.0,52.38095238095239
Albany,17,0,0,0.0,0.0
Allahabad,20,0,0,0.0,0.0
Amritsar,21,0,0,0.0,0.0
Ankara,20,0,0,0.0,0.0
Armidale,1,0,0,0.0,0.0
Athens,20,0,0,0.0,0.0
Auckland,20,0,0,0.0,0.0
Augusta,20,0,0,0.0,0.0
Aurangabad,20,0,0,0.0,0.0
Balingup,1,0,0,0.0,0.0
Bandung,1,0,0,0.0,0.0
Bangalore,20,6,7,30.0,35.0
Beechworth,1,0,0,0.0,0.0
Bhopal,20,0,0,0.0,0.0
Bhubaneshwar,21,0,0,0.0,0.0
Birmingham,20,2,0,10.0,0.0
Bogor,2,0,0,0.0,0.0
Boise,20,0,0,0.0,0.0
Brasí_lia,20,0,0,0.0,0.0
Cape Town,20,1,0,5.0,0.0
Cedar Rapids/Iowa City,20,0,0,0.0,0.0
Chandigarh,18,0,6,0.0,33.33333333333333
Chatham-Kent,1,0,0,0.0,0.0
Chennai,20,13,13,65.0,65.0
Clatskanie,1,0,0,0.0,0.0
Cochrane,1,0,0,0.0,0.0
Coimbatore,20,0,7,0.0,35.0
Colombo,20,0,0,0.0,0.0
Columbus,20,0,0,0.0,0.0
Consort,1,0,0,0.0,0.0
Dalton,20,0,0,0.0,0.0
Davenport,20,0,0,0.0,0.0
Dehradun,20,0,0,0.0,0.0
Des Moines,20,0,0,0.0,0.0
Dicky Beach,1,0,0,0.0,0.0
Doha,20,1,0,5.0,0.0
Dubai,20,12,6,60.0,30.0
Dubuque,20,0,0,0.0,0.0
East Ballina,1,0,0,0.0,0.0
Edinburgh,20,2,0,10.0,0.0
Faridabad,251,15,35,5.9760956175298805,13.94422310756972
Fernley,1,0,0,0.0,0.0
Flaxton,1,0,0,0.0,0.0
Forrest,1,0,0,0.0,0.0
Gainesville,19,0,0,0.0,0.0
Ghaziabad,25,3,10,12.0,40.0
Goa,20,0,0,0.0,0.0
Gurgaon,1118,204,425,18.246869409660107,38.01431127012522
Guwahati,21,0,0,0.0,0.0
Hepburn Springs,2,0,0,0.0,0.0
Huskisson,1,0,0,0.0,0.0
Hyderabad,18,10,7,55.55555555555556,38.88888888888889
Indore,20,0,0,0.0,0.0
Inner City,2,0,0,0.0,0.0
Inverloch,1,0,0,0.0,0.0
Jaipur,20,0,10,0.0,50.0
Jakarta,16,0,0,0.0,0.0
Johannesburg,6,1,0,16.666666666666664,0.0
Kanpur,20,0,0,0.0,0.0
Kochi,20,0,5,0.0,25.0
Kolkata,20,9,8,45.0,40.0
Lakes Entrance,1,0,0,0.0,0.0
Lakeview,1,0,0,0.0,0.0
Lincoln,1,0,0,0.0,0.0
London,20,6,0,30.0,0.0
Lorn,1,0,0,0.0,0.0
Lucknow,21,0,0,0.0,0.0
Ludhiana,20,0,0,0.0,0.0
Macedon,1,0,0,0.0,0.0
Macon,19,0,0,0.0,0.0
Makati City,2,2,0,100.0,0.0
Manchester,20,2,0,10.0,0.0
Mandaluyong City,4,2,0,50.0,0.0
Mangalore,20,0,0,0.0,0.0
Mayfield,1,0,0,0.0,0.0
Mc Millan,1,0,0,0.0,0.0
Middleton Beach,1,0,0,0.0,0.0
Mohali,1,0,1,0.0,100.0
Monroe,1,0,0,0.0,0.0
Montville,1,0,0,0.0,0.0
Mumbai,20,9,7,45.0,35.0
Mysore,20,0,0,0.0,0.0
Nagpur,20,0,10,0.0,50.0
Nashik,20,0,0,0.0,0.0
New Delhi,5473,715,1489,13.064133016627078,27.20628540105975
Noida,1080,112,364,10.37037037037037,33.7037037037037
Ojo Caliente,1,0,0,0.0,0.0
Orlando,19,0,0,0.0,0.0
Palm Cove,1,0,0,0.0,0.0
Panchkula,1,0,0,0.0,0.0
Pasay City,3,3,0,100.0,0.0
Pasig City,3,2,0,66.66666666666666,0.0
Patna,20,0,0,0.0,0.0
Paynesville,1,0,0,0.0,0.0
Penola,1,0,0,0.0,0.0
Pensacola,20,0,0,0.0,0.0
Phillip Island,1,0,0,0.0,0.0
Pocatello,20,0,0,0.0,0.0
Potrero,1,0,0,0.0,0.0
Pretoria,20,0,0,0.0,0.0
Princeton,1,0,0,0.0,0.0
Puducherry,20,0,0,0.0,0.0
Pune,20,13,7,65.0,35.0
Quezon City,1,0,0,0.0,0.0
