City,Cuisines,Total_Restaurants,Average_Rating,Total_Votes
Abu Dhabi,American,2,4.6,583
Abu Dhabi,"American, Desserts",1,4.6,586
Abu Dhabi,"American, Mexican, Seafood",1,4.0,205
Abu Dhabi,Asian,1,4.6,81
Abu Dhabi,Chinese,1,4.2,435
Abu Dhabi,"Fast Food, Burger",1,4.2,228
Abu Dhabi,"Filipino, Japanese, Asian",1,4.5,162
Abu Dhabi,Indian,2,4.5,381
Abu Dhabi,"Indian, North Indian",1,4.9,216
Abu Dhabi,"Indian, North Indian, Chinese",1,4.0,525
Abu Dhabi,"Indian, North Indian, Mughlai, Biryani",1,4.0,355
Abu Dhabi,"Indian, South Indian",1,3.6,268
Abu Dhabi,"Italian, Pizza",2,4.25,893
Abu Dhabi,"Lebanese, Arabian, Middle Eastern",1,4.0,380
Abu Dhabi,"Pakistani, Afghani, Indian, Hyderabadi",1,4.0,277
Abu Dhabi,"Thai, Japanese, Chinese, Indonesian, Vietnamese",1,4.4,246
Abu Dhabi,"Turkish, Arabian, Middle Eastern",1,4.3,224
Agra,"Cafe, Italian, Mexican, North Indian, Continental",1,3.9,98
Agra,"Cafe, North Indian, Chinese",1,4.9,77
Agra,"Chinese, Italian, Continental, North Indian",1,4.2,166
Agra,"Italian, Pizza",1,4.4,134
Agra,Mughlai,1,4.0,41
Agra,North Indian,1,3.6,94
Agra,"North Indian, Chinese, Continental",2,3.8499999999999996,160
Agra,"North Indian, Chinese, Continental, Mughlai",1,3.4,70
Agra,"North Indian, Chinese, Mughlai",1,4.2,177
Agra,"North Indian, European",1,4.0,45
Agra,"North Indian, Fast Food",1,4.1,168
Agra,"North Indian, Mughlai",5,3.84,565
Agra,Rajasthani,1,4.0,87
Agra,"Rajasthani, Gujarati, Mughlai",1,3.6,59
Agra,"South Indian, Desserts",1,4.1,121
Ahmedabad,"Cafe, American, Continental, Armenian, Fast Food",1,3.9,166
Ahmedabad,"Cafe, Beverages, Desserts, Pizza",1,4.0,404
Ahmedabad,"Cafe, Continental, Desserts",1,4.4,944
Ahmedabad,"Cafe, Italian",1,4.4,317
Ahmedabad,"Chinese, Italian, North Indian, Mexican, Mediterranean, Thai",1,4.2,1582
Ahmedabad,Continental,1,4.0,535
Ahmedabad,"Continental, Chinese, North Indian",1,3.7,1315
Ahmedabad,"Continental, Italian, Chinese",1,4.1,1041
Ahmedabad,"Desserts, Ice Cream",1,4.6,166
Ahmedabad,"Fast Food, Street Food, South Indian",1,4.4,697
Ahmedabad,"Ice Cream, Desserts, Continental",1,4.5,217
Ahmedabad,"Italian, Fast Food",1,4.3,744
Ahmedabad,"North Indian, Cafe, Italian, Mexican, Continental",1,3.8,63
Ahmedabad,"North Indian, Chinese, Continental",1,4.3,325
Ahmedabad,"North Indian, Chinese, Continental, Desserts, Fast Food, Sandwich",1,3.8,432
Ahmedabad,"North Indian, Continental, Beverages, Italian, Burger, Healthy Food, Mediterranean",1,4.5,1138
Ahmedabad,"North Indian, Continental, Mexican, Italian",1,4.1,769
Ahmedabad,"North Indian, Italian, Asian, South Indian",1,4.1,192
Ahmedabad,"North Indian, South Indian, Asian, Continental",1,3.6,375
Ahmedabad,"Pizza, Italian",1,4.4,113
Ahmedabad,"Pizza, Italian, Beverages, Desserts",1,4.3,731
Albany,"American, BBQ",1,3.3,25
Albany,"American, Breakfast, Diner",1,3.4,20
Albany,"American, Burger, Sandwich",1,3.5,57
Albany,"American, Steak",1,3.5,58
Albany,"Asian, Chinese, Vegetarian",1,3.9,141
Albany,"BBQ, Burger, Seafood",1,3.3,35
Albany,Chinese,1,3.8,153
Albany,"Chinese, Seafood, Vegetarian",1,3.6,88
Albany,"Coffee and Tea, Sandwich",1,3.4,26
Albany,Fast Food,1,3.5,67
Albany,"Italian, Pizza",1,3.7,117
Albany,"Japanese, Steak, Sushi",2,3.55,166
Albany,Mexican,1,3.4,45
Albany,"Pizza, Bar Food, Sandwich",1,3.7,147
Albany,"Seafood, Tapas, Bar Food",1,3.8,250
Albany,"Steak, Tapas, Bar Food",1,3.5,51
Allahabad,"American, Fast Food",1,3.4,58
Allahabad,"Cafe, Fast Food",1,3.3,76
Allahabad,"Continental, Italian",1,3.6,59
Allahabad,"Desserts, Fast Food",1,3.6,57
Allahabad,Fast Food,1,3.3,53
Allahabad,"Fast Food, American, Salad, Healthy Food",1,3.4,32
Allahabad,"Italian, Pizza",1,3.4,35
Allahabad,"Mughlai, North Indian, Chinese",1,3.3,58
Allahabad,North Indian,1,3.7,105
Allahabad,"North Indian, Chinese",3,3.3333333333333335,333
Allahabad,"North Indian, Chinese, Italian",1,3.3,49
Allahabad,"North Indian, Fast Food",1,3.5,105
Allahabad,"North Indian, Mughlai",1,3.2,6
Allahabad,"North Indian, South Indian, Chinese",1,3.4,18
Allahabad,"North Indian, South Indian, Fast Food",1,3.4,57
Allahabad,"North Indian, Street Food, Fast Food",1,3.2,51
Allahabad,"South Indian, Chinese",1,3.4,106
Allahabad,"South Indian, North Indian, Chinese, Continental",1,3.5,134
Amritsar,Beverages,1,4.0,52
Amritsar,"Cafe, Bakery, Fast Food",1,3.4,26
Amritsar,Fast Food,1,4.1,140
Amritsar,"Fast Food, Italian",1,3.5,111
Amritsar,Mithai,1,4.1,104
Amritsar,North Indian,7,3.7714285714285714,1755
Amritsar,"North Indian, Chinese",2,3.5,396
Amritsar,"North Indian, Fast Food",2,3.6,555
Amritsar,"North Indian, Mughlai",1,3.4,122
Amritsar,"North Indian, Mughlai, Chinese",1,3.4,98
Amritsar,"North Indian, South Indian, Chinese, Fast Food",1,3.4,44
Amritsar,"North Indian, Street Food",1,3.9,206
Amritsar,Street Food,1,3.6,56
Ankara,Cafe,3,4.066666666666666,336
Ankara,"Cafe, Desserts",1,4.3,126
Ankara,Kebab,2,4.55,355
Ankara,"Kebab, Desserts, Turkish Pizza",2,4.300000000000001,283
Ankara,"Kebab, Izgara",1,4.4,296
Ankara,"Kebab, Turkish Pizza",4,4.325,530
Ankara,"Kebab, Turkish Pizza, Dí_ner",1,4.4,72
Ankara,"Patisserie, Coffee and Tea",1,3.4,115
Ankara,Pizza,1,4.7,104
Ankara,Steak,1,4.1,97
Ankara,Turkish Pizza,1,4.3,103
Ankara,World Cuisine,1,4.9,95
Ankara,"World Cuisine, Mexican, Italian",1,4.4,115
Armidale,"Bar Food, Steak",1,3.5,25
Athens,American,1,4.3,755
Athens,"American, Burger, Sandwich",1,4.2,613
Athens,"American, Italian, Pizza",2,4.05,740
Athens,"American, Southern, Southwestern",1,4.5,1821
Athens,"Asian, Japanese, Sushi",1,4.2,550
Athens,Bar Food,1,4.4,546
Athens,"Breakfast, Burger, Sandwich",1,3.7,289
Athens,"Breakfast, Sandwich",1,4.3,558
Athens,"Burger, Bar Food",1,4.2,579
Athens,"Desserts, Latin American, Argentine",1,4.1,374
Athens,"International, Southern",1,4.1,465
Athens,"International, Southern, Vegetarian",1,4.2,800
Athens,Italian,1,4.1,464
Athens,"Italian, Pizza, Sandwich",1,4.4,1098
Athens,"Japanese, Korean",1,3.9,439
Athens,Mexican,1,4.6,917
Athens,"Mexican, Spanish",1,4.1,543
Athens,Sandwich,1,4.1,350
Athens,Southern,1,4.5,849
Auckland,American,1,4.1,431
Auckland,"Asian Fusion, Cafe",1,4.2,61
Auckland,"Asian Fusion, Pub Food, Fusion, Asian, Filipino, Malaysian, Thai",1,3.5,86
Auckland,"Asian, Sushi, Seafood",1,4.5,166
Auckland,Cafe,2,4.25,244
Auckland,"Cafe, American",1,4.6,696
Auckland,"Cafe, European",1,4.0,381
Auckland,Chinese,1,4.3,212
Auckland,Desserts,2,4.9,1035
Auckland,European,2,3.5,814
Auckland,"Ice Cream, Desserts",1,4.7,617
Auckland,Italian,1,4.6,413
Auckland,"Kiwi, European",1,4.2,271
Auckland,Malaysian,1,4.0,414
Auckland,"Seafood, Kiwi",1,4.8,598
Auckland,"Taiwanese, Street Food",1,4.4,223
Auckland,Thai,1,4.3,133
Augusta,American,1,4.3,368
Augusta,"American, Burger",1,3.9,201
Augusta,"American, Caribbean, Seafood",1,4.9,548
Augusta,BBQ,1,3.5,304
Augusta,"Bar Food, Sandwich, Seafood",1,4.0,456
Augusta,"Breakfast, French",1,3.8,332
Augusta,"Burger, Seafood",1,4.0,326
Augusta,"Chinese, Steak",1,4.6,717
Augusta,"Desserts, Italian, Pizza",1,4.1,430
Augusta,"Desserts, Sandwich, Southern",1,3.9,372
Augusta,German,1,3.9,290
Augusta,Indian,1,4.0,227
Augusta,"International, Tapas, Vegetarian",1,4.5,631
Augusta,"Italian, Pizza, Sandwich",1,4.4,433
Augusta,Mexican,2,4.1,680
Augusta,"Mexican, Southwestern, Sushi",1,4.2,647
Augusta,Steak,1,4.0,360
Augusta,Thai,1,4.3,317
Augusta,Vietnamese,1,4.1,270
Aurangabad,"Cafe, Mughlai, North Indian",1,3.2,8
Aurangabad,"Continental, Chinese, Biryani, North Indian",1,3.6,73
Aurangabad,"Italian, Continental, Chinese, North Indian",1,3.3,65
Aurangabad,"Italian, Fast Food, North Indian, Chinese",1,3.3,47
Aurangabad,"Juices, Desserts",1,3.5,21
Aurangabad,Maharashtrian,1,3.4,34
Aurangabad,Mughlai,1,3.4,39
Aurangabad,"Mughlai, Biryani",1,3.3,45
Aurangabad,North Indian,2,3.55,160
Aurangabad,"North Indian, Chinese",1,3.3,63
Aurangabad,"North Indian, Chinese, Continental, Italian",1,3.6,240
Aurangabad,"North Indian, Chinese, Continental, Italian, Mexican",1,3.4,94
Aurangabad,"North Indian, Chinese, South Indian, Fast Food",1,3.3,76
Aurangabad,"North Indian, Hyderabadi",1,3.3,71
Aurangabad,"North Indian, Mughlai",1,3.3,74
Aurangabad,"North Indian, South Indian",1,3.4,46
Aurangabad,Pizza,1,3.1,19
Aurangabad,"South Indian, Chinese, North Indian",1,3.3,46
Aurangabad,"South Indian, North Indian, Chinese, Fast Food",1,3.4,75
Balingup,Modern Australian,1,3.2,21
Bandung,"Cafe, Coffee and Tea, Western",1,4.2,22
Bangalore,"American, Burger, Cafe",1,4.7,9667
Bangalore,Asian,1,4.7,2369
Bangalore,"Asian, Mediterranean, North Indian",1,4.4,983
Bangalore,"Bakery, Desserts, Cafe",1,4.0,3533
Bangalore,Continental,1,4.2,334
Bangalore,"Continental, American",1,4.5,1288
Bangalore,"Continental, American, Italian, North Indian, Chinese, Cafe",1,4.7,276
Bangalore,"Continental, Italian, North Indian",1,3.9,405
Bangalore,"European, Continental",1,3.9,1354
Bangalore,"European, Mediterranean, North Indian",1,4.6,6907
Bangalore,"Finger Food, North Indian, Italian, Continental, Thai, South Indian",1,4.5,5705
Bangalore,"Italian, American, Pizza",1,4.8,10934
Bangalore,Modern Indian,2,4.300000000000001,985
Bangalore,"North Indian, Chinese, Italian, Street Food, Desserts",1,4.3,753
Bangalore,"North Indian, European, Mediterranean",1,4.1,5385
Bangalore,"North Indian, Mughlai",1,4.1,2416
Bangalore,"Pizza, Cafe, Italian",3,4.5,2821
Beechworth,"Pizza, Bar Food",1,4.6,237
Bhopal,Bakery,1,3.8,33
Bhopal,Cafe,1,3.4,63
Bhopal,"Cafe, Chinese, North Indian",1,3.3,51
Bhopal,"Cafe, Fast Food",1,3.8,98
Bhopal,Chinese,1,4.0,103
Bhopal,Fast Food,4,4.375,873
Bhopal,"Fast Food, Mexican, Tex-Mex",1,3.6,20
Bhopal,"Italian, Mexican, Chinese",1,3.8,79
Bhopal,North Indian,1,4.3,128
Bhopal,"North Indian, Chinese",2,3.95,383
Bhopal,"North Indian, Chinese, South Indian, Fast Food",1,3.5,175
Bhopal,"North Indian, South Indian, Street Food, Bakery",2,4.25,481
Bhopal,Pizza,1,4.1,118
Bhopal,"Pizza, Italian, Fast Food",1,3.6,111
Bhopal,South Indian,1,3.9,161
Bhubaneshwar,"Asian, Continental",1,3.5,89
Bhubaneshwar,Cafe,2,3.95,486
Bhubaneshwar,"Cafe, Charcoal Grill, Steak",1,4.5,145
Bhubaneshwar,"Cafe, Chinese, Fast Food, Seafood",1,3.8,253
Bhubaneshwar,"Cafe, Italian, Mexican, Bakery",1,4.1,256
Bhubaneshwar,"Cafe, Tea",1,3.8,56
Bhubaneshwar,Chinese,3,4.133333333333333,869
Bhubaneshwar,"Chinese, North Indian",1,4.2,49
Bhubaneshwar,"Chinese, North Indian, Cafe",1,3.7,338
Bhubaneshwar,"Fast Food, North Indian, Chinese",1,3.9,247
